field,time
63.0,18402
67.0,18417
66.0,18433
67.0,18449
67.0,18464
64.0,18480
64.0,18495
67.0,18511
65.0,18527
68.0,18542
62.0,18558
65.0,18574
67.0,18589
61.0,18605
62.0,18621
63.0,18636
67.0,18652
55.0,18668
67.0,18683
67.0,18699
63.0,18714
62.0,18730
63.0,18746
62.0,18761
62.0,18777
68.0,18792
64.0,18808
67.0,18824
61.0,18839
62.0,18855
67.0,18871
66.0,18886
62.0,18902
63.0,18918
65.0,18933
66.0,18949
65.0,18964
65.0,18980
64.0,18996
66.0,19011
58.0,19027
62.0,19042
62.0,19058
64.0,19074
63.0,19089
62.0,19105
67.0,19121
65.0,19136
66.0,19152
66.0,19168
65.0,19183
62.0,19199
63.0,19215
63.0,19230
64.0,19246
66.0,19262
65.0,19277
63.0,19293
65.0,19309
69.0,19324
64.0,19340
62.0,19355
67.0,19371
59.0,19387
65.0,19402
66.0,19418
65.0,19434
64.0,19449
62.0,19465
67.0,19481
67.0,19496
67.0,19512
64.0,19527
62.0,19543
66.0,19559
66.0,19575
67.0,19590
62.0,19606
63.0,19622
65.0,19637
65.0,19653
65.0,19669
66.0,19684
66.0,19700
63.0,19715
67.0,19731
64.0,19746
62.0,19762
66.0,19778
63.0,19793
65.0,19809
65.0,19825
64.0,19840
63.0,19856
63.0,19872
62.0,19887
63.0,19903
61.0,19918
64.0,19934
66.0,19950
65.0,19965
65.0,19981
66.0,19997
63.0,20012
66.0,20028
64.0,20044
66.0,20059
66.0,20075
65.0,20091
62.0,20106
66.0,20122
61.0,20138
67.0,20153
66.0,20169
61.0,20185
66.0,20200
62.0,20216
62.0,20232
66.0,20247
62.0,20263
66.0,20279
66.0,20294
65.0,20310
62.0,20326
66.0,20342
66.0,20357
64.0,20373
68.0,20389
67.0,20404
66.0,20420
63.0,20436
66.0,20451
62.0,20467
63.0,20482
64.0,20498
62.0,20513
67.0,20529
62.0,20545
62.0,20560
66.0,20576
65.0,20592
66.0,20607
63.0,20623
64.0,20639
65.0,20654
64.0,20670
65.0,20686
67.0,20701
62.0,20717
63.0,20733
64.0,20748
62.0,20764
65.0,20780
66.0,20795
63.0,20811
66.0,20827
63.0,20843
61.0,20858
63.0,20874
62.0,20890
62.0,20905
63.0,20921
62.0,20936
62.0,20952
64.0,20968
62.0,20983
63.0,20999
65.0,21014
62.0,21030
67.0,21046
65.0,21061
67.0,21077
61.0,21093
66.0,21109
65.0,21124
65.0,21140
66.0,21156
64.0,21171
62.0,21187
62.0,21202
62.0,21218
63.0,21234
65.0,21249
61.0,21265
63.0,21281
65.0,21296
67.0,21312
62.0,21328
66.0,21343
66.0,21359
63.0,21375
64.0,21390
62.0,21406
67.0,21422
64.0,21437
62.0,21453
63.0,21469
64.0,21484
62.0,21500
66.0,21516
63.0,21531
61.0,21547
63.0,21563
64.0,21578
63.0,21594
65.0,21609
64.0,21625
66.0,21641
64.0,21657
63.0,21672
64.0,21688
63.0,21704
64.0,21719
65.0,21735
65.0,21751
63.0,21766
64.0,21782
65.0,21798
64.0,21813
64.0,21829
65.0,21845
65.0,21860
63.0,21876
64.0,21891
63.0,21907
64.0,21923
65.0,21938
63.0,21954
65.0,21969
65.0,21985
64.0,22001
63.0,22017
64.0,22032
64.0,22048
64.0,22064
63.0,22079
64.0,22095
64.0,22111
64.0,22126
64.0,22142
63.0,22157
63.0,22173
64.0,22189
64.0,22205
64.0,22220
63.0,22236
64.0,22252
64.0,22267
63.0,22283
64.0,22298
64.0,22314
64.0,22330
64.0,22345
65.0,22361
65.0,22377
64.0,22392
63.0,22408
64.0,22424
64.0,22439
64.0,22455
64.0,22471
64.0,22486
64.0,22502
64.0,22517
64.0,22533
64.0,22549
64.0,22564
63.0,22580
64.0,22596
64.0,22611
64.0,22627
64.0,22642
64.0,22658
64.0,22674
63.0,22689
64.0,22705
64.0,22721
65.0,22736
64.0,22752
64.0,22768
64.0,22783
64.0,22799
63.0,22814
65.0,22830
64.0,22846
64.0,22861
64.0,22877
63.0,22893
63.0,22908
